"Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Time","Managers","Year","Chall","Succ","Succ%"
"Anaheim Angels","2,066,982","25,518",27.6,28.9,102,102,0,2,12,"$52,664,167","3:05","Scioscia",2000,NA,NA,NA
"Arizona Diamondbacks","2,942,251","36,324",30.8,31.6,104,103,1,2,13,"$81,027,833","2:54","Showalter",2000,NA,NA,NA
"Atlanta Braves","3,234,304","39,930",30.8,31.4,100,99,3,5,19,"$84,737,836","2:54","Cox",2000,NA,NA,NA
"Baltimore Orioles","3,297,031","40,704",32.2,29.1,95,96,3,2,12,"$82,347,435","3:01","Hargrove",2000,NA,NA,NA
"Boston Red Sox","2,585,895","31,925",29.3,30.2,103,103,1,4,15,"$79,975,333","3:02","Williams",2000,NA,NA,NA
"Chicago Cubs","2,789,511","34,438",30.8,28.4,97,98,0,2,10,"$60,539,333","3:00","Baylor",2000,NA,NA,NA
"Chicago White Sox","1,947,799","24,047",27.6,26.5,102,102,2,3,13,"$31,743,500","3:03","Manuel",2000,NA,NA,NA
"Cincinnati Reds","2,577,371","31,431",29.2,28.5,102,102,2,3,13,"$46,867,200","3:00","McKeon",2000,NA,NA,NA
"Cleveland Indians","3,456,278","42,670",30.1,30.2,101,100,2,4,15,"$76,972,271","3:12","Manuel",2000,NA,NA,NA
"Colorado Rockies","3,295,129","40,681",29.2,29.9,125,125,2,3,5,"$61,111,190","3:01","Bell",2000,NA,NA,NA
"Detroit Tigers","2,438,617","30,106",29.1,29.2,94,95,0,1,9,"$59,645,167","3:01","Garner",2000,NA,NA,NA
"Florida Marlins","1,218,326","15,041",26.1,26.7,94,95,0,1,12,"$20,347,000","2:59","Boles",2000,NA,NA,NA
"Houston Astros","3,056,139","37,730",29.1,28,107,107,3,1,10,"$51,289,111","3:02","Dierker",2000,NA,NA,NA
"Kansas City Royals","1,564,847","19,319",27.6,25.8,103,103,0,2,6,"$24,903,000","3:01","Muser",2000,NA,NA,NA
"Los Angeles Dodgers","2,880,242","35,559",29.6,29.5,94,93,1,2,14,"$88,124,286","3:03","Johnson",2000,NA,NA,NA
"Milwaukee Brewers","1,573,621","19,427",28.8,27.4,97,98,0,1,9,"$37,305,333","3:04","Lopes",2000,NA,NA,NA
"Minnesota Twins","1,000,760","12,355",26.5,26.6,104,105,1,1,12,"$17,529,500","2:59","Kelly",2000,NA,NA,NA
"Montreal Expos","926,272","11,435",26.2,26.1,103,104,1,2,7,"$32,994,333","2:51","Alou",2000,NA,NA,NA
"New York Mets","2,820,530","34,821",30.4,31,96,96,2,3,12,"$79,509,776","3:04","Valentine",2000,NA,NA,NA
"New York Yankees","3,055,435","38,193",31.4,32,99,98,2,4,23,"$93,113,260","3:09","Torre",2000,NA,NA,NA
"Oakland Athletics","1,603,744","19,799",27.3,29.5,96,95,0,3,12,"$33,172,333","3:08","Howe",2000,NA,NA,NA
"Philadelphia Phillies","1,612,769","19,911",28.5,28.7,100,101,1,1,13,"$47,513,000","2:59","Francona",2000,NA,NA,NA
"Pittsburgh Pirates","1,748,908","21,591",28.3,27.1,99,100,0,2,7,"$31,328,334","2:57","Lamont",2000,NA,NA,NA
"San Diego Padres","2,352,443","29,043",28.6,27.5,92,92,2,1,9,"$55,021,000","2:57","Bochy",2000,NA,NA,NA
"Seattle Mariners","2,914,624","35,983",31.4,29.3,94,93,2,3,16,"$60,495,000","3:08","Piniella",2000,NA,NA,NA
"San Francisco Giants","3,318,800","40,973",29.9,28.5,93,92,0,2,10,"$53,737,826","3:01","Baker",2000,NA,NA,NA
"St. Louis Cardinals","3,336,493","41,191",29.7,29.3,101,101,0,4,16,"$61,653,863","3:01","La Russa",2000,NA,NA,NA
"Tampa Bay Devil Rays","1,449,673","18,121",30.1,29.3,98,100,1,1,10,"$63,265,129","2:58","Rothschild",2000,NA,NA,NA
"Texas Rangers","2,588,401","31,956",29.5,28.7,101,102,1,1,11,"$70,795,921","3:06","Oates",2000,NA,NA,NA
"Toronto Blue Jays","1,705,712","21,058",28.1,28.9,103,103,1,3,12,"$46,038,332","3:00","Fregosi",2000,NA,NA,NA
"Anaheim Angels","2,000,919","24,703",27.9,28.9,101,100,0,2,7,"$47,735,167","2:57","Scioscia",2001,NA,NA,NA
"Arizona Diamondbacks","2,736,451","33,783",31.9,30.9,108,107,1,3,14,"$85,082,999","2:58","Brenly",2001,NA,NA,NA
"Atlanta Braves","2,823,530","34,858",30.3,31.1,103,102,4,2,17,"$91,936,166","2:53","Cox",2001,NA,NA,NA
"Baltimore Orioles","3,094,841","38,686",30.2,27.6,95,96,2,1,10,"$74,279,540","2:59","Hargrove",2001,NA,NA,NA
"Boston Red Sox","2,625,333","32,412",30,30.9,101,100,1,1,16,"$110,035,833","3:04","Williams and Kerrigan",2001,NA,NA,NA
"Chicago Cubs","2,779,465","34,314",30.7,29.8,95,95,1,2,13,"$64,715,833","2:56","Baylor",2001,NA,NA,NA
"Chicago White Sox","1,766,172","21,805",28.5,26.2,104,103,2,1,16,"$65,653,667","2:57","Manuel",2001,NA,NA,NA
"Cincinnati Reds","1,879,757","23,207",28,27.4,105,105,2,1,11,"$48,986,000","2:58","Boone",2001,NA,NA,NA
"Cleveland Indians","3,175,523","39,694",31.1,29.1,100,100,3,2,17,"$93,360,001","3:06","Manuel",2001,NA,NA,NA
"Colorado Rockies","3,166,821","39,097",28.3,28.7,122,122,2,3,7,"$71,541,334","3:02","Bell",2001,NA,NA,NA
"Detroit Tigers","1,921,305","23,720",28.3,28.3,93,95,0,1,8,"$53,416,167","2:52","Garner",2001,NA,NA,NA
"Florida Marlins","1,261,226","15,765",27.3,26.5,96,97,0,2,14,"$35,762,500","2:53","Boles and Pérez",2001,NA,NA,NA
"Houston Astros","2,904,277","35,855",30.3,28.4,106,106,3,3,12,"$60,612,667","2:58","Dierker",2001,NA,NA,NA
"Kansas City Royals","1,536,371","18,968",28.2,27.3,106,107,0,1,8,"$35,422,500","2:53","Muser",2001,NA,NA,NA
