"","Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%","Year","EV","HardH%"
"1","Anaheim Angels",".362","102",".303",".193","3.7%","16.1%","9.5%","26.2%","37.5%","30.1%","0.62","31.3%","47.6%","21.1%","0.6","0.2%","0.0","31%","64%","46%",2000,NA,NA
"2","Arizona Diamondbacks",".341","85",".290",".164","2.9%","15.6%","8.6%","24.8%","38.7%","28.9%","0.65","29.9%","51.0%","19.1%","-3.1","-2.2%","-26.9","32%","69%","49%",2000,NA,NA
"3","Atlanta Braves",".355","97",".302",".157","2.9%","16.1%","9.5%","25.4%","41.6%","25.9%","0.74","29.1%","50.7%","20.2%","1.5","2.8%","10.7","31%","73%","45%",2000,NA,NA
"4","Baltimore Orioles",".348","100",".293",".163","3.0%","14.4%","9.0%","25.9%","39.2%","28.7%","0.66","28.8%","51.6%","19.6%","-4.5","0.6%","-39.1","31%","66%","45%",2000,NA,NA
"5","Boston Red Sox",".343","88",".297",".156","2.6%","16.0%","9.6%","25.5%","38.3%","30.1%","0.63","29.9%","50.3%","19.8%","-11.4","-10.5%","-79.4","31%","59%","38%",2000,NA,NA
"6","Chicago Cubs",".337","89",".288",".155","2.9%","17.5%","9.9%","23.7%","41.8%","26.9%","0.76","28.7%","51.0%","20.2%","-8.4","-1.1%","-56.0","30%","72%","40%",2000,NA,NA
"7","Chicago White Sox",".369","106",".309",".184","3.4%","15.0%","9.2%","24.6%","38.7%","28.8%","0.66","30.3%","49.4%","20.3%","5.5","3.2%","117.4","37%","74%","46%",2000,NA,NA
"8","Cincinnati Reds",".351","93",".299",".173","3.1%","15.6%","8.8%","25.6%","39.6%","28.6%","0.67","28.6%","51.2%","20.2%","-3.5","-4.9%","2.4","31%","72%","38%",2000,NA,NA
"9","Cleveland Indians",".377","112",".318",".182","3.4%","16.2%","10.5%","25.7%","40.1%","27.4%","0.69","29.1%","49.6%","21.3%","5.6","5.8%","96.9","33%","77%","41%",2000,NA,NA
"10","Colorado Rockies",".369","88",".322",".161","2.5%","14.1%","9.3%","28.4%","39.0%","25.5%","0.67","26.7%","51.5%","21.8%","2.1","1.2%","79.5","37%","68%","51%",2000,NA,NA
"11","Detroit Tigers",".350","102",".303",".163","2.8%","15.5%","8.9%","27.1%","37.6%","28.3%","0.62","29.4%","51.3%","19.3%","-4.3","-2.7%","-10.9","32%","69%","43%",2000,NA,NA
"12","Florida Marlins",".338","91",".304",".147","2.6%","19.1%","8.7%","24.4%","41.5%","27.0%","0.73","27.9%","51.0%","21.1%","-3.4","-1.0%","-53.9","30%","75%","43%",2000,NA,NA
"13","Houston Astros",".371","102",".305",".199","3.9%","17.5%","10.4%","26.0%","37.8%","29.4%","0.63","30.4%","49.5%","20.1%","2.2","-0.7%","100.3","33%","69%","41%",2000,NA,NA
"14","Kansas City Royals",".354","94",".312",".138","2.4%","13.1%","8.0%","26.7%","42.0%","25.1%","0.75","26.4%","52.4%","21.2%","3.5","1.9%","11.5","35%","78%","41%",2000,NA,NA
"15","Los Angeles Dodgers",".349","100",".283",".174","3.3%","17.2%","10.6%","23.9%","39.7%","29.2%","0.68","29.0%","51.1%","19.9%","2.1","1.5%","10.1","30%","69%","41%",2000,NA,NA
"16","Milwaukee Brewers",".330","84",".284",".158","2.8%","19.6%","9.8%","24.3%","41.2%","27.6%","0.72","28.0%","50.5%","21.5%","-9.3","-1.9%","-73.4","30%","62%","43%",2000,NA,NA
"17","Minnesota Twins",".339","84",".309",".137","1.9%","16.3%","8.9%","27.3%","44.1%","23.6%","0.80","24.9%","53.0%","22.1%","-10.5","-1.7%","-128.1","31%","67%","44%",2000,NA,NA
"18","Montreal Expos",".336","83",".299",".165","2.9%","17.0%","7.7%","24.2%","43.3%","25.2%","0.80","27.8%","52.4%","19.7%","-7.5","-0.2%","-77.0","31%","55%","46%",2000,NA,NA
"19","New York Mets",".350","99",".290",".167","3.1%","16.4%","10.7%","22.9%","40.4%","29.3%","0.70","28.9%","51.3%","19.8%","0.9","1.6%","17.5","30%","59%","42%",2000,NA,NA
"20","New York Yankees",".359","103",".304",".173","3.3%","16.0%","10.0%","25.7%","41.0%","28.6%","0.70","29.1%","51.4%","19.5%","3.1","5.9%","35.2","32%","67%","38%",2000,NA,NA
"21","Oakland Athletics",".367","111",".300",".188","3.7%","18.0%","11.7%","25.3%","38.4%","30.5%","0.63","29.4%","50.0%","20.6%","8.3","9.7%","118.0","33%","73%","41%",2000,NA,NA
"22","Philadelphia Phillies",".332","81",".290",".148","2.3%","17.8%","9.7%","25.0%","38.9%","28.3%","0.66","27.1%","51.2%","21.6%","-12.6","-2.2%","-100.2","30%","77%","39%",2000,NA,NA
"23","Pittsburgh Pirates",".344","92",".299",".157","2.6%","16.2%","8.9%","24.7%","39.9%","27.9%","0.68","28.6%","51.8%","19.6%","-4.4","-1.9%","-25.4","32%","68%","40%",2000,NA,NA
"24","San Diego Padres",".331","90",".294",".148","2.5%","18.7%","9.6%","25.4%","41.1%","27.1%","0.71","27.0%","52.1%","20.9%","-3.5","-1.0%","-37.6","31%","71%","43%",2000,NA,NA
"25","Seattle Mariners",".362","111",".299",".172","3.1%","16.7%","12.0%","25.9%","38.6%","29.1%","0.65","27.6%","50.7%","21.7%","0.9","1.7%","83.8","33%","69%","41%",2000,NA,NA
"26","San Francisco Giants",".369","116",".303",".194","3.5%","16.1%","11.1%","25.9%","36.7%","30.4%","0.60","31.4%","49.0%","19.6%","11.9","6.2%","147.6","33%","67%","40%",2000,NA,NA
"27","St. Louis Cardinals",".365","105",".308",".185","3.7%","19.7%","10.6%","25.7%","38.3%","28.6%","0.65","30.3%","48.6%","21.1%","7.5","2.6%","83.7","32%","63%","44%",2000,NA,NA
"28","Tampa Bay Devil Rays",".331","85",".287",".142","2.6%","16.5%","9.0%","24.3%","40.0%","28.0%","0.69","31.7%","51.0%","17.3%","-10.3","-0.8%","-111.5","30%","66%","40%",2000,NA,NA
"29","Texas Rangers",".358","101",".310",".163","2.7%","14.5%","9.1%","26.5%","39.3%","28.3%","0.66","27.8%","51.5%","20.7%","-0.7","1.0%","-10.1","32%","59%","44%",2000,NA,NA
"30","Toronto Blue Jays",".361","100",".297",".194","3.9%","16.2%","8.3%","26.1%","39.3%","28.1%","0.66","31.8%","50.3%","18.0%","-0.6","-1.0%","0.0","32%","72%","37%",2000,NA,NA
"31","League Average",".352","97",".300",".167","3.0%","16.5%","9.6%","25.5%","39.8%","28.0%","0.68","28.9%","50.8%","20.3%","-1","0%","3","32%","69%","42%",2000,NA,NA
"32","",".352","97",".300",".167","3.0%","16.5%","9.6%","25.5%","39.8%","28.0%","0.68","28.9%","50.8%","20.3%","-42.2","11.8%","85.2","32%","69%","42%",2000,NA,NA
"33","Anaheim Angels",".330","91",".290",".144","2.5%","16.1%","7.9%","25.5%","37.7%","29.5%","0.62","29.4%","50.5%","20.1%","-10.0","-4.0%","-93.3","28%","69%","44%",2001,NA,NA
"34","Arizona Diamondbacks",".343","91",".294",".175","3.3%","16.6%","9.3%","24.6%","38.9%","28.6%","0.66","28.5%","51.8%","19.7%","-2.9","-1.3%","28.4","31%","65%","42%",2001,NA,NA
"35","Atlanta Braves",".328","85",".290",".152","2.8%","16.9%","8.0%","22.6%","44.2%","26.2%","0.82","26.3%","52.5%","21.2%","-5.9","-6.3%","-38.8","30%","65%","45%",2001,NA,NA
"36","Baltimore Orioles",".317","88",".278",".131","2.2%","16.1%","8.4%","24.7%","39.2%","28.0%","0.67","30.3%","49.8%","19.9%","-10.0","-2.0%","-85.3","30%","72%","47%",2001,NA,NA
"37","Boston Red Sox",".341","100",".300",".173","3.2%","18.1%","8.3%","25.2%","40.2%","27.7%","0.69","28.4%","51.6%","20.0%","-2.3","-1.5%","-19.2","30%","57%","34%",2001,NA,NA
"38","Chicago Cubs",".340","102",".290",".169","3.1%","17.3%","9.3%","23.3%","42.7%","25.8%","0.79","26.8%","52.8%","20.4%","2.8","2.0%","38.7","31%","65%","39%",2001,NA,NA
"39","Chicago White Sox",".347","101",".290",".183","3.5%","16.2%","8.5%","23.1%","39.3%","29.4%","0.68","29.5%","49.9%","20.5%","2.0","-0.6%","2.5","32%","68%","42%",2001,NA,NA
"40","Cincinnati Reds",".333","86",".301",".157","2.8%","18.8%","7.5%","24.9%","41.4%","25.8%","0.73","27.8%","51.8%","20.4%","-7.1","-1.7%","-52.8","30%","66%","42%",2001,NA,NA
"41","Cleveland Indians",".355","111",".308",".179","3.3%","16.9%","9.1%","25.2%","38.2%","28.3%","0.65","31.8%","49.0%","19.2%","8.6","8.9%","108.9","34%","66%","41%",2001,NA,NA
"42","Colorado Rockies",".368","97",".322",".191","3.3%","16.1%","8.0%","26.7%","38.6%","26.2%","0.67","26.9%","53.2%","19.9%","4.4","2.3%","95.3","35%","71%","49%",2001,NA,NA
"43","Detroit Tigers",".329","100",".291",".150","2.3%","15.8%","7.6%","24.6%","40.8%","26.9%","0.71","29.5%","52.3%","18.2%","-3.9","-0.2%","-43.1","32%","69%","39%",2001,NA,NA
"44","Florida Marlins",".333","95",".303",".159","2.7%","18.5%","7.6%","25.1%","38.8%","28.3%","0.66","29.5%","50.1%","20.4%","-2.4","-0.3%","-2.4","31%","69%","37%",2001,NA,NA
"45","Houston Astros",".352","100",".304",".180","3.3%","17.7%","9.2%","26.3%","39.1%","27.2%","0.66","29.5%","51.3%","19.2%","6.1","4.3%","65.0","32%","57%","41%",2001,NA,NA
"46","Kansas City Royals",".328","85",".291",".143","2.5%","14.5%","6.6%","24.0%","43.2%","26.5%","0.78","27.0%","51.3%","21.8%","-10.7","-1.3%","-85.9","32%","70%","40%",2001,NA,NA
"47","Los Angeles Dodgers",".332","99",".279",".170","3.3%","17.2%","8.4%","23.4%","40.6%","28.3%","0.71","28.7%","52.2%","19.1%","3.2","1.9%","26.4","31%","68%","41%",2001,NA,NA
"48","Milwaukee Brewers",".328","91",".299",".175","3.4%","22.8%","7.9%","25.9%","38.8%","27.7%","0.66","28.6%","50.9%","20.5%","-6.0","-2.5%","-9.1","30%","65%","38%",2001,NA,NA
"49","Minnesota Twins",".342","100",".310",".161","2.7%","17.5%","8.0%","25.1%","43.6%","25.7%","0.79","28.0%","51.9%","20.2%","3.1","0.8%","-15.1","32%","69%","48%",2001,NA,NA
"50","Montreal Expos",".318","79",".291",".143","2.2%","17.8%","7.9%","24.2%","43.7%","25.0%","0.81","27.2%","53.1%","19.7%","-9.0","-2.9%","-88.9","30%","66%","39%",2001,NA,NA
"51","New York Mets",".319","88",".283",".137","2.4%","17.3%","8.9%","22.4%","42.1%","28.1%","0.76","28.3%","51.4%","20.3%","-5.2","-2.5%","-99.2","27%","58%","41%",2001,NA,NA
"52","New York Yankees",".346","101",".293",".168","3.3%","16.6%","8.3%","24.0%","41.6%","28.5%","0.73","29.2%","50.4%","20.4%","1.2","2.2%","22.0","32%","75%","43%",2001,NA,NA
"53","Oakland Athletics",".347","107",".288",".175","3.1%","16.0%","10.0%","24.1%","39.3%","29.0%","0.66","29.2%","51.0%","19.7%","8.5","4.2%","106.4","34%","70%","40%",2001,NA,NA
"54","Philadelphia Phillies",".333","93",".297",".154","2.6%","18.1%","8.9%","24.4%","39.3%","28.2%","0.68","27.3%","50.6%","22.1%","2.1","-0.2%","6.4","31%","77%","39%",2001,NA,NA
"55","Pittsburgh Pirates",".316","78",".281",".146","2.7%","18.4%","7.8%","22.4%","42.2%","27.4%","0.76","28.1%","51.9%","20.0%","-8.1","-1.3%","-110.2","29%","56%","47%",2001,NA,NA
"56","San Diego Padres",".334","101",".297",".147","2.6%","20.3%","10.8%","26.1%","38.5%","29.6%","0.64","25.1%","51.4%","23.5%","5.8","1.5%","58.8","32%","75%","43%",2001,NA,NA
"57","Seattle Mariners",".362","120",".320",".157","2.6%","15.3%","9.5%","26.2%","39.7%","27.2%","0.68","26.7%","51.1%","22.2%","17.0","4.3%","167.1","35%","81%","44%",2001,NA,NA
"58","San Francisco Giants",".350","112",".290",".194","3.7%","17.0%","9.8%","24.2%","37.2%","30.3%","0.62","31.5%","51.3%","17.3%","3.8","3.3%","55.5","29%","58%","37%",2001,NA,NA
"59","St. Louis Cardinals",".345","99",".302",".172","3.2%","17.6%","8.6%","24.5%","40.6%","27.0%","0.72","27.0%","52.8%","20.2%","3.2","3.0%","61.5","33%","72%","48%",2001,NA,NA
"60","Tampa Bay Devil Rays",".321","89",".303",".130","2.0%","18.3%","7.5%","24.9%","43.2%","24.9%","0.79","30.3%","50.0%","19.7%","-8.7","-1.1%","-102.6","30%","69%","41%",2001,NA,NA
"61","Texas Rangers",".361","110",".300",".195","3.9%","17.1%","8.6%","25.0%","38.2%","30.8%","0.63","30.3%","50.5%","19.2%","4.2","0.4%","90.1","33%","75%","42%",2001,NA,NA
"62","Toronto Blue Jays",".337","94",".293",".167","3.1%","17.4%","7.5%","24.8%","40.2%","28.1%","0.69","30.7%","49.6%","19.7%","-6.3","-3.1%","-34.7","31%","74%","35%",2001,NA,NA
"63","League Average",".338","97",".296",".163","2.9%","17.3%","8.5%","24.6%","40.4%","27.7%","0.70","28.6%","51.3%","20.1%","-1","0%","2","31%","69%","42%",2001,NA,NA
"64","",".338","97",".296",".163","2.9%","17.3%","8.5%","24.6%","40.4%","27.7%","0.70","28.6%","51.3%","20.1%","-22.5","6.3%","52.4","31%","69%","42%",2001,NA,NA
"65","Anaheim Angels",".346","106",".303",".150","2.4%","12.7%","7.3%","28.5%","34.5%","29.5%","0.54","30.4%","49.9%","19.7%","5.3","4.4%","75.1","34%","70%","39%",2002,NA,NA
"66","Arizona Diamondbacks",".348","93",".298",".156","2.6%","16.1%","10.2%","27.8%","40.0%","24.5%","0.70","27.2%","53.2%","19.6%","5.5","3.9%","79.9","32%","67%","42%",2002,NA,NA
"67","Atlanta Braves",".335","91",".290",".150","2.6%","16.5%","9.0%","23.3%","42.8%","26.2%","0.79","27.7%","52.9%","19.3%","0.7","0.4%","-15.9","29%","66%","40%",2002,NA,NA
"68","Baltimore Orioles",".317","91",".271",".157","2.7%","16.3%","7.4%","25.6%","36.8%","28.8%","0.60","33.9%","48.7%","17.4%","-10.8","-1.4%","-105.3","29%","70%","40%",2002,NA,NA
"69","Boston Red Sox",".352","107",".302",".168","2.8%","14.9%","8.6%","27.7%","38.9%","26.9%","0.65","31.0%","50.4%","18.6%","3.5","0.7%","78.5","33%","74%","38%",2002,NA,NA
"70","Chicago Cubs",".332","93",".283",".167","3.2%","20.3%","9.4%","27.5%","39.8%","24.8%","0.69","29.0%","51.3%","19.6%","-6.2","-1.8%","-9.5","28%","75%","37%",2002,NA,NA
"71","Chicago White Sox",".350","107",".287",".181","3.5%","15.3%","8.9%","24.8%","37.1%","29.2%","0.62","31.4%","48.6%","20.0%","2.9","1.0%","86.3","34%","71%","40%",2002,NA,NA
"72","Cincinnati Reds",".334","88",".293",".155","2.7%","19.0%","9.3%","26.6%","39.2%","25.8%","0.68","28.1%","51.3%","20.6%","-3.3","-0.5%","-29.2","28%","69%","46%",2002,NA,NA
"73","Cleveland Indians",".328","98",".271",".163","3.2%","16.4%","8.9%","24.9%","40.5%","26.6%","0.70","30.8%","51.9%","17.3%","-0.2","-2.2%","-24.6","31%","58%","38%",2002,NA,NA
