"","Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24","Year","EV","HardH%"
"1","Anaheim Angels",".273",".351",".453",".804",".285","3.6%","13.2%","10.3%","24.1%","39.9%","29.7%","0.68","0.4","-2.3%","-6.1",2000,NA,NA
"2","Arizona Diamondbacks",".262",".326",".424",".750",".303","3.1%","19.8%","8.1%","24.8%","37.5%","29.6%","0.63","7.1","5.0%","67.4",2000,NA,NA
"3","Atlanta Braves",".258",".319",".402",".721",".292","2.7%","17.7%","7.9%","24.4%","43.2%","26.6%","0.79","12.5","6.9%","93.8",2000,NA,NA
"4","Baltimore Orioles",".275",".352",".449",".801",".301","3.1%","15.8%","10.3%","25.8%","39.6%","28.7%","0.67","-2.5","-3.9%","-84.9",2000,NA,NA
"5","Boston Red Sox",".257",".322",".411",".733",".291","2.8%","18.0%","8.0%","25.0%","40.4%","27.1%","0.70","15.1","11.5%","126.9",2000,NA,NA
"6","Chicago Cubs",".268",".348",".452",".800",".297","3.6%","17.7%","10.2%","25.0%","38.7%","28.6%","0.65","-7.6","-2.1%","-98.3",2000,NA,NA
"7","Chicago White Sox",".270",".346",".434",".780",".299","3.1%","16.4%","9.7%","25.5%","39.7%","28.2%","0.67","8.7","5.8%","30.8",2000,NA,NA
"8","Cincinnati Reds",".261",".341",".438",".779",".286","3.0%","16.0%","10.4%","24.8%","39.1%","28.3%","0.67","7.4","3.2%","59.7",2000,NA,NA
"9","Cleveland Indians",".270",".350",".425",".774",".315","2.7%","19.0%","10.4%","25.7%","41.6%","26.7%","0.73","3.4","6.6%","43.5",2000,NA,NA
"10","Colorado Rockies",".281",".354",".471",".826",".306","3.5%","15.8%","9.3%","26.7%","40.4%","27.0%","0.70","-0.6","-3.3%","1.8",2000,NA,NA
"11","Detroit Tigers",".280",".340",".443",".782",".308","2.8%","15.5%","7.9%","25.7%","41.8%","27.8%","0.73","2.3","0.0%","5.7",2000,NA,NA
"12","Florida Marlins",".269",".348",".429",".777",".302","2.7%","16.7%","10.3%","24.3%","40.3%","27.6%","0.70","1.5","-0.3%","-16.4",2000,NA,NA
"13","Houston Astros",".281",".353",".476",".829",".307","3.6%","16.5%","9.3%","25.7%","38.0%","29.6%","0.63","-11.2","-2.6%","-111.2",2000,NA,NA
"14","Kansas City Royals",".282",".362",".474",".836",".299","3.7%","14.4%","10.8%","25.6%","40.1%","28.7%","0.69","-7.5","-4.0%","-61.8",2000,NA,NA
"15","Los Angeles Dodgers",".252",".332",".407",".739",".288","2.8%","18.5%","9.6%","24.3%","41.9%","26.9%","0.75","3.0","-1.4%","57.3",2000,NA,NA
"16","Milwaukee Brewers",".269",".357",".420",".776",".295","2.7%","14.9%","11.2%","23.0%","41.2%","28.3%","0.73","1.3","-1.2%","-14.1",2000,NA,NA
"17","Minnesota Twins",".287",".347",".466",".813",".317","3.4%","16.5%","8.1%","26.8%","36.6%","29.7%","0.59","-1.5","-1.0%","-11.1",2000,NA,NA
"18","Montreal Expos",".282",".353",".449",".802",".314","2.9%","16.0%","9.1%","26.4%","39.9%","27.5%","0.69","-6.6","-1.7%","-95.5",2000,NA,NA
"19","New York Mets",".252",".327",".403",".730",".290","2.6%","18.6%","9.2%","25.7%","39.7%","26.7%","0.68","12.2","8.3%","58.1",2000,NA,NA
