"","Tm","X.Fld","RA.G","DefEff","G","GS","CG","Inn","Ch","PO","A","E","DP","Fld.","Rtot","Rtot.yr","Year","Rdrs","Rdrs.yr","Rgood"
"1","Anaheim Angels","45","5.36",".699","162","1458","1143","13032.0","6224","4344","1746","134","182",".978","71","7",2000,NA,NA,NA
"2","Arizona Diamondbacks","41","4.65",".687","162","1458","1132","12993.0","5979","4331","1541","107","138",".982","17","2",2000,NA,NA,NA
"3","Atlanta Braves","46","4.41",".692","162","1458","1114","12963.0","6183","4321","1733","129","138",".979","36","3",2000,NA,NA,NA
"4","Baltimore Orioles","48","5.64",".684","162","1458","1186","12900.0","5994","4300","1578","116","151",".981","-21","-2",2000,NA,NA,NA
"5","Boston Red Sox","50","4.60",".696","162","1458","1071","13074.0","6114","4358","1647","109","120",".982","38","3",2000,NA,NA,NA
"6","Chicago Cubs","50","5.58",".693","162","1458","1069","13092.0","6038","4364","1574","100","139",".983","6","1",2000,NA,NA,NA
"7","Chicago White Sox","41","5.18",".685","162","1458","1130","13053.0","6170","4351","1686","133","190",".978","6","1",2000,NA,NA,NA
"8","Cincinnati Reds","45","4.69",".702","163","1467","1017","13107.0","6119","4369","1639","111","156",".982","48","4",2000,NA,NA,NA
"9","Cleveland Indians","55","5.04",".678","162","1458","1136","12981.0","6064","4327","1665","72","147",".988","-14","-1",2000,NA,NA,NA
"10","Colorado Rockies","49","5.54",".684","162","1458","1103","12870.0","6111","4290","1727","94","176",".985","55","5",2000,NA,NA,NA
"11","Detroit Tigers","44","5.10",".679","162","1458","1059","12990.0","6189","4330","1754","105","171",".983","4","0",2000,NA,NA,NA
"12","Florida Marlins","39","4.95",".684","161","1449","1072","12867.0","6124","4289","1710","125","144",".980","-11","-1",2000,NA,NA,NA
"13","Houston Astros","45","5.83",".678","162","1458","1039","12939.0","6007","4313","1561","133","149",".978","-53","-5",2000,NA,NA,NA
"14","Kansas City Royals","44","5.74",".689","162","1458","1168","12954.0","6171","4318","1751","102","185",".983","44","4",2000,NA,NA,NA
"15","Los Angeles Dodgers","45","4.50",".696","162","1458","1115","13005.0","6187","4335","1717","135","151",".978","6","1",2000,NA,NA,NA
"16","Milwaukee Brewers","46","5.07",".693","163","1467","1144","13197.0","6264","4399","1747","118","187",".981","29","3",2000,NA,NA,NA
"17","Minnesota Twins","41","5.43",".671","162","1458","1108","12894.0","5926","4298","1526","102","155",".983","-46","-4",2000,NA,NA,NA
"18","Montreal Expos","49","5.57",".672","162","1458","978","12822.0","6109","4274","1703","132","151",".978","-37","-3",2000,NA,NA,NA
"19","New York Mets","47","4.56",".696","162","1458","956","13050.0","6050","4350","1582","118","121",".980","11","1",2000,NA,NA,NA
"20","New York Yankees","46","5.06",".693","161","1449","1068","12819.0","5869","4273","1487","109","132",".981","-22","-2",2000,NA,NA,NA
"21","Oakland Athletics","43","5.05",".680","161","1449","1035","12918.0","6166","4306","1726","134","164",".978","-46","-4",2000,NA,NA,NA
"22","Philadelphia Phillies","51","5.12",".693","162","1458","1148","12948.0","5907","4316","1491","100","136",".983","13","1",2000,NA,NA,NA
"23","Pittsburgh Pirates","46","5.48",".673","162","1458","1101","13041.0","6307","4347","1828","132","169",".979","-59","-5",2000,NA,NA,NA
