"","Tm","IP","G","GS","R","RA9","RA9opp","RA9def","RA9role","PPFp","RA9avg","RAA","WAA","gmLI","WAAadj","WAR","RAR","waaWL%","162WL%","Salary","Year","RA9extras"
"1","Anaheim Angels","1448.0","603","162","869","5.40","5.46","0.44","-0.03","101.2","5.06","-66","-5.5","1.19","-1.6","8.0","123",".491",".500","$22,520,000",2000,NA
"2","Arizona Diamondbacks","1443.2","552","162","754","4.70","5.16","0.11","0.01","102.9","5.21","78","8.7","1.10","-1.5","19.6","219",".516",".504","$43,168,500",2000,NA
"3","Atlanta Braves","1440.1","538","162","714","4.46","5.02","0.22","0.03","99.3","4.79","48","5.4","1.22","-0.5","17.2","190",".510",".503","$29,302,737",2000,NA
"4","Baltimore Orioles","1433.1","558","162","913","5.73","5.38","-0.13","0.02","96.4","5.33","-75","-5.7","1.31","-1.4","7.9","112",".490",".500","$26,685,953",2000,NA
"5","Boston Red Sox","1452.2","587","162","745","4.62","5.43","0.23","-0.02","102.4","5.30","99","10.9","1.18","-0.6","25.5","289",".518",".505","$34,865,000",2000,NA
"6","Chicago Cubs","1454.2","583","162","904","5.59","5.13","0.04","0.00","99.6","5.07","-88","-7.5","1.46","-1.5","3.6","54",".487",".499","$24,041,833",2000,NA
"7","Chicago White Sox","1450.1","628","162","839","5.21","5.39","0.04","-0.02","101.9","5.44","26","3.4","1.23","0.3","18.9","215",".505",".504","$14,346,000",2000,NA
"8","Cincinnati Reds","1456.1","550","163","765","4.73","5.13","0.29","-0.01","102.5","4.94","30","3.5","1.29","-0.1","16.0","173",".506",".502","$14,050,000",2000,NA
"9","Cleveland Indians","1442.1","624","162","816","5.09","5.39","-0.09","-0.02","99.8","5.46","48","5.5","1.13","-1.1","19.5","236",".509",".504","$29,581,615",2000,NA
"10","Colorado Rockies","1430.0","641","162","897","5.65","5.15","0.34","-0.02","124.8","5.98","48","5.6","1.21","0.6","18.6","189",".509",".505","$25,405,833",2000,NA
"11","Detroit Tigers","1443.1","591","162","827","5.16","5.41","0.03","0.01","95.2","5.13","-15","-0.8","1.18","-1.1","13.2","173",".499",".500","$19,982,667",2000,NA
"12","Florida Marlins","1429.2","590","161","797","5.02","5.05","-0.07","0.00","96.4","4.93","-18","-1.1","1.30","-1.7","9.6","122",".498",".499","$10,779,000",2000,NA
"13","Houston Astros","1437.2","572","162","944","5.91","5.08","-0.33","0.00","107.4","5.81","-20","-1.6","1.17","-1.4","9.5","121",".497",".500","$20,816,611",2000,NA
"14","Kansas City Royals","1439.1","491","162","930","5.82","5.46","0.28","0.00","103.0","5.33","-88","-7.1","1.17","-1.5","6.4","100",".486",".499","$8,660,500",2000,NA
"15","Los Angeles Dodgers","1445.0","533","162","729","4.54","5.12","0.04","0.00","94.0","4.78","34","4.7","1.15","-1.5","15.7","176",".509",".504","$42,115,952",2000,NA
"16","Milwaukee Brewers","1466.1","596","163","826","5.07","5.14","0.18","-0.01","98.5","4.87","-37","-2.0","1.14","-0.6","10.1","107",".497",".501","$14,055,500",2000,NA
"17","Minnesota Twins","1432.2","574","162","880","5.53","5.53","-0.29","0.00","105.0","6.10","81","8.5","1.14","-0.5","23.0","268",".515",".506","$10,172,500",2000,NA
"18","Montreal Expos","1424.2","614","162","902","5.70","5.07","-0.23","-0.02","103.6","5.47","-40","-2.7","1.14","-0.8","8.8","100",".496",".501","$13,961,333",2000,NA
"19","New York Mets","1450.0","573","162","738","4.58","5.02","0.07","0.01","96.1","4.77","27","3.6","1.30","0.2","16.3","169",".506",".502","$40,629,181",2000,NA
"20","New York Yankees","1424.1","543","161","814","5.14","5.38","-0.14","0.02","97.9","5.41","32","3.7","1.02","-0.1","18.5","217",".507",".503","$42,921,467",2000,NA
"21","Oakland Athletics","1435.1","542","161","813","5.10","5.42","-0.29","0.01","95.5","5.46","47","5.1","1.19","-1.0","19.0","234",".509",".503","$17,258,500",2000,NA
"22","Philadelphia Phillies","1438.2","576","162","830","5.19","5.09","0.08","0.01","100.6","5.05","-26","-1.5","1.17","-1.7","9.3","115",".497",".500","$18,588,000",2000,NA
"23","Pittsburgh Pirates","1449.0","628","162","888","5.52","5.10","-0.37","-0.03","101.3","5.51","-5","0.2","1.13","-1.3","11.4","137",".500",".501","$10,815,000",2000,NA
"24","San Diego Padres","1459.1","605","162","815","5.03","5.16","-0.04","-0.01","92.6","4.80","-41","-3.2","1.29","-0.5","8.9","103",".495",".500","$21,398,333",2000,NA
"25","Seattle Mariners","1441.2","545","162","780","4.87","5.38","0.18","0.00","92.7","4.83","-18","-1.3","1.26","-1.4","12.4","170",".498",".500","$28,762,500",2000,NA
"26","San Francisco Giants","1444.1","546","162","747","4.65","5.06","0.03","0.02","93.6","4.72","6","0.9","1.22","-0.9","12.4","148",".502",".501","$20,525,000",2000,NA
"27","St. Louis Cardinals","1433.2","548","162","771","4.84","5.07","0.27","0.01","101.7","4.89","4","0.8","1.16","-0.6","12.6","145",".501",".502","$25,494,690",2000,NA
"28","Tampa Bay Devil Rays","1431.1","562","161","842","5.29","5.44","0.06","-0.01","99.6","5.34","-3","0.7","1.13","-1.6","14.0","183",".501",".501","$16,220,000",2000,NA
"29","Texas Rangers","1429.0","577","162","974","6.13","5.45","-0.39","0.01","102.3","5.98","-35","-2.4","1.28","-0.8","11.8","151",".496",".500","$33,240,000",2000,NA
"30","Toronto Blue Jays","1437.1","550","162","908","5.69","5.41","0.01","0.01","102.4","5.54","-34","-1.6","1.10","-1.0","12.5","154",".497",".500","$17,744,999",2000,NA
"31","Anaheim Angels","1437.2","546","162","730","4.57","5.19","0.24","0.02","99.0","4.91","47","4.9","1.18","-0.9","18.9","217",".509",".502","$12,241,000",2001,NA
"32","Arizona Diamondbacks","1459.2","583","162","677","4.17","4.96","0.30","0.01","106.7","4.97","128","15.0","1.19","-0.5","27.1","260",".526",".508","$41,729,166",2001,NA
"33","Atlanta Braves","1447.1","573","162","643","4.00","4.68","0.38","0.01","101.6","4.39","61","7.0","1.15","-0.5","19.0","192",".512",".504","$41,110,000",2001,NA
"34","Baltimore Orioles","1432.1","554","162","829","5.21","4.91","-0.08","0.00","95.6","4.77","-77","-7.1","1.23","-1.3","6.5","92",".487",".498","$19,403,333",2001,NA
"35","Boston Red Sox","1448.0","585","161","745","4.63","4.89","-0.31","-0.02","99.6","5.16","77","8.3","1.23","-0.8","22.6","248",".514",".503","$42,910,000",2001,NA
