"","Tm","R/G","Outs","RC","RC/G","AIR","BAbip","BA","lgBA","OBP","lgOBP","SLG","lgSLG","OPS","lgOPS","OPS+","OWn%","BtRuns","BtWins","TotA","SecA","ISO","PwrSpd","Year"
"1","Anaheim Angels","5.33","4322","953","5.9","117",".303",".280",".279",".352",".352",".472",".448",".825",".800","105",".529","39.4","3.3",".805",".308",".193","133.4",2000
"2","Arizona Diamondbacks","4.89","4338","829","5.1","120",".290",".265",".278",".333",".356",".429",".454",".763",".810","88",".481","-116.0","-10.8",".726",".270",".164","125.8",2000
"3","Atlanta Braves","5.00","4314","856","5.3","116",".302",".271",".273",".346",".351",".429",".446",".775",".797","95",".498","-45.1","-4.3",".754",".282",".157","162.0",2000
"4","Baltimore Orioles","4.90","4335","832","5.1","111",".293",".272",".270",".341",".342",".435",".435",".776",".777","100",".466","5.2","0.3",".740",".275",".163","149.6",2000
"5","Boston Red Sox","4.89","4360","852","5.2","118",".297",".267",".280",".341",".353",".423",".450",".764",".803","90",".474","-88.3","-8.2",".721",".267",".156","68.4",2000
"6","Chicago Cubs","4.72","4436","814","4.9","114",".288",".256",".269",".335",".346",".411",".441",".746",".787","90",".462","-83.0","-7.9",".714",".279",".155","123.3",2000
"7","Chicago White Sox","6.04","4329","967","6.0","117",".309",".286",".279",".356",".352",".470",".448",".826",".800","106",".535","49.0","4.2",".811",".302",".184","153.5",2000
"8","Cincinnati Reds","5.06","4379","900","5.5","118",".299",".274",".276",".343",".353",".447",".450",".790",".804","96",".514","-39.6","-3.8",".760",".283",".173","133.3",2000
"9","Cleveland Indians","5.86","4305","1026","6.4","116",".318",".288",".277",".367",".351",".470",".446",".837",".797","110",".564","92.4","8.0",".836",".316",".182","149.5",2000
"10","Colorado Rockies","5.98","4333","989","6.1","137",".322",".294",".301",".362",".382",".455",".492",".816",".874","87",".562","-130.5","-12.3",".800",".279",".161","144.5",2000
"11","Detroit Tigers","5.08","4362","855","5.2","110",".303",".275",".269",".343",".341",".438",".432",".781",".773","102",".475","23.6","2.0",".740",".271",".163","113.0",2000
"12","Florida Marlins","4.54","4316","799","4.9","111",".304",".262",".266",".331",".342",".409",".434",".740",".777","91",".466","-68.2","-6.4",".715",".266",".147","163.9",2000
"13","Houston Astros","5.79","4347","1006","6.2","122",".305",".278",".281",".361",".360",".477",".460",".837",".820","104",".568","25.4","1.9",".834",".331",".199","156.4",2000
