"...1","Batting Against...2","Batting Against...3","Batting Against...4","Batting Against...5","Batting Against...6","Pitching Ratios...7","Pitching Ratios...8","Pitching Ratios...9","Batted Ball...10","Batted Ball...11","Batted Ball...12","Batted Ball...13","Win Probability...14","Win Probability...15","Win Probability...16","Year","Batted Ball...14","Batted Ball...15","Win Probability...17","Win Probability...18"
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2000,NA,NA,NA,NA
"Anaheim Angels",".273",".351",".453",".804",".285","3.6%","13.2%","10.3%","24.1%","39.9%","29.7%","0.68","0.4","-2.3%","-6.1",2000,NA,NA,NA,NA
"Arizona Diamondbacks",".262",".326",".424",".750",".303","3.1%","19.8%","8.1%","24.8%","37.5%","29.6%","0.63","7.1","5.0%","67.4",2000,NA,NA,NA,NA
"Atlanta Braves",".258",".319",".402",".721",".292","2.7%","17.7%","7.9%","24.4%","43.2%","26.6%","0.79","12.5","6.9%","93.8",2000,NA,NA,NA,NA
"Baltimore Orioles",".275",".352",".449",".801",".301","3.1%","15.8%","10.3%","25.8%","39.6%","28.7%","0.67","-2.5","-3.9%","-84.9",2000,NA,NA,NA,NA
"Boston Red Sox",".257",".322",".411",".733",".291","2.8%","18.0%","8.0%","25.0%","40.4%","27.1%","0.70","15.1","11.5%","126.9",2000,NA,NA,NA,NA
"Chicago Cubs",".268",".348",".452",".800",".297","3.6%","17.7%","10.2%","25.0%","38.7%","28.6%","0.65","-7.6","-2.1%","-98.3",2000,NA,NA,NA,NA
"Chicago White Sox",".270",".346",".434",".780",".299","3.1%","16.4%","9.7%","25.5%","39.7%","28.2%","0.67","8.7","5.8%","30.8",2000,NA,NA,NA,NA
"Cincinnati Reds",".261",".341",".438",".779",".286","3.0%","16.0%","10.4%","24.8%","39.1%","28.3%","0.67","7.4","3.2%","59.7",2000,NA,NA,NA,NA
"Cleveland Indians",".270",".350",".425",".774",".315","2.7%","19.0%","10.4%","25.7%","41.6%","26.7%","0.73","3.4","6.6%","43.5",2000,NA,NA,NA,NA
"Colorado Rockies",".281",".354",".471",".826",".306","3.5%","15.8%","9.3%","26.7%","40.4%","27.0%","0.70","-0.6","-3.3%","1.8",2000,NA,NA,NA,NA
"Detroit Tigers",".280",".340",".443",".782",".308","2.8%","15.5%","7.9%","25.7%","41.8%","27.8%","0.73","2.3","0.0%","5.7",2000,NA,NA,NA,NA
"Florida Marlins",".269",".348",".429",".777",".302","2.7%","16.7%","10.3%","24.3%","40.3%","27.6%","0.70","1.5","-0.3%","-16.4",2000,NA,NA,NA,NA
"Houston Astros",".281",".353",".476",".829",".307","3.6%","16.5%","9.3%","25.7%","38.0%","29.6%","0.63","-11.2","-2.6%","-111.2",2000,NA,NA,NA,NA
"Kansas City Royals",".282",".362",".474",".836",".299","3.7%","14.4%","10.8%","25.6%","40.1%","28.7%","0.69","-7.5","-4.0%","-61.8",2000,NA,NA,NA,NA
"Los Angeles Dodgers",".252",".332",".407",".739",".288","2.8%","18.5%","9.6%","24.3%","41.9%","26.9%","0.75","3.0","-1.4%","57.3",2000,NA,NA,NA,NA
"Milwaukee Brewers",".269",".357",".420",".776",".295","2.7%","14.9%","11.2%","23.0%","41.2%","28.3%","0.73","1.3","-1.2%","-14.1",2000,NA,NA,NA,NA
"Minnesota Twins",".287",".347",".466",".813",".317","3.4%","16.5%","8.1%","26.8%","36.6%","29.7%","0.59","-1.5","-1.0%","-11.1",2000,NA,NA,NA,NA
"Montreal Expos",".282",".353",".449",".802",".314","2.9%","16.0%","9.1%","26.4%","39.9%","27.5%","0.69","-6.6","-1.7%","-95.5",2000,NA,NA,NA,NA
"New York Mets",".252",".327",".403",".730",".290","2.6%","18.6%","9.2%","25.7%","39.7%","26.7%","0.68","12.2","8.3%","58.1",2000,NA,NA,NA,NA
"New York Yankees",".263",".336",".422",".758",".293","2.8%","16.6%","9.2%","26.3%","38.0%","28.3%","0.63","3.4","3.1%","27.2",2000,NA,NA,NA,NA
"Oakland Athletics",".274",".348",".423",".770",".304","2.5%","15.2%","9.7%","25.0%","43.0%","26.1%","0.77","2.3","4.6%","21.7",2000,NA,NA,NA,NA
"Philadelphia Phillies",".265",".343",".448",".791",".297","3.2%","17.8%","10.1%","24.8%","37.1%","29.9%","0.61","-3.4","-0.6%","-27.0",2000,NA,NA,NA,NA
"Pittsburgh Pirates",".277",".361",".432",".793",".313","2.5%","16.4%","10.9%","24.9%","44.2%","24.7%","0.83","-7.6","-1.2%","-77.8",2000,NA,NA,NA,NA
"San Diego Padres",".258",".340",".416",".756",".286","3.0%","16.7%","10.1%","24.8%","39.6%","28.3%","0.68","-1.5","-1.7%","-30.1",2000,NA,NA,NA,NA
"Seattle Mariners",".262",".339",".416",".755",".290","2.7%","15.9%","10.1%","25.2%","38.2%","29.3%","0.64","9.0","11.5%","48.2",2000,NA,NA,NA,NA
"San Francisco Giants",".266",".342",".412",".754",".303","2.4%","17.2%","9.9%","25.7%","38.6%","28.3%","0.66","4.1","4.3%","38.4",2000,NA,NA,NA,NA
"St. Louis Cardinals",".259",".338",".434",".771",".290","3.2%","17.7%","9.8%","26.2%","37.8%","28.5%","0.63","6.5","3.4%","38.1",2000,NA,NA,NA,NA
"Tampa Bay Devil Rays",".278",".345",".451",".796",".302","3.2%","15.2%","8.5%","25.9%","41.6%","26.9%","0.73","-1.3","-2.5%","-2.8",2000,NA,NA,NA,NA
"Texas Rangers",".294",".369",".475",".845",".317","3.1%","14.0%","10.1%","28.5%","36.3%","28.7%","0.58","-9.3","-2.9%","-121.1",2000,NA,NA,NA,NA
"Toronto Blue Jays",".285",".354",".456",".809",".313","3.1%","15.3%","8.8%","27.0%","39.3%","27.8%","0.67","2.6","1.8%","-46.3",2000,NA,NA,NA,NA
"League Average",".270",".345",".437",".782",".300","3.0%","16.5%","9.6%","25.5%","39.8%","28.0%","0.68","","","",2000,NA,NA,NA,NA
"",".270",".345",".437",".782",".300","3.0%","16.5%","9.6%","25.5%","39.8%","28.0%","0.68","","","",2000,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2000,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2001,NA,NA,NA,NA
"Anaheim Angels",".263",".331",".412",".744",".288","2.7%","15.3%","8.5%","24.5%","41.8%","27.3%","0.74","4.0","2.5%","54.6",2001,NA,NA,NA,NA
"Arizona Diamondbacks",".247",".311",".404",".715",".288","3.2%","21.3%","7.6%","23.2%","38.3%","29.8%","0.65","14.0","15.8%","119.2",2001,NA,NA,NA,NA
"Atlanta Braves",".250",".314",".384",".698",".287","2.5%","18.6%","8.2%","23.0%","42.5%","27.8%","0.77","12.6","12.4%","125.8",2001,NA,NA,NA,NA
