"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Year"
"Anaheim Angels","","6373","16","-5","1","71","-6","76","7.7","235","311","29.5",".504",".505","22.9","6.5","240","$52,264,167",2000
"Arizona Diamondbacks","","6241","-119","2","1","17","66","-32","-5.1","182","149","12.3",".499",".500","11.5","1.1","132","$80,812,833",2000
"Atlanta Braves","","6275","-22","5","7","36","69","95","7.0","182","277","24.4",".504",".505","21.8","3.0","241","$75,817,836",2000
"Baltimore Orioles","","6238","0","-3","-9","-21","-6","-38","-2.9","232","194","18.7",".498",".500","20.6","-2.0","215","$82,147,435",2000
"Boston Red Sox","","6371","-98","-15","4","38","-6","-77","-6.6","237","160","15.4",".496",".500","11.9","3.6","123","$71,312,833",2000
"Chicago Cubs","","6397","-90","1","3","6","65","-15","-3.6","186","171","14.4",".499",".501","14.7","0.1","165","$60,069,333",2000
"Chicago White Sox","","6410","46","13","1","6","-4","62","6.4","236","298","28.3",".503",".503","27.7","0.7","292","$31,308,500",2000
"Cincinnati Reds","","6373","-56","6","-2","48","61","56","3.4","187","243","21.4",".502",".503","17.6","3.7","195","$46,567,200",2000
"Cleveland Indians","","6512","103","3","0","-14","-6","87","8.6","238","325","30.7",".505",".505","32.1","-1.4","339","$76,767,271",2000
"Colorado Rockies","","6453","-97","16","2","55","67","42","1.9","189","231","20.0",".502",".503","15.6","4.5","176","$60,811,190",2000
"Detroit Tigers","","6343","19","7","-5","4","-7","18","2.5","237","255","24.5",".501",".502","24.1","0.4","250","$59,205,167",2000
"Florida Marlins","","6203","-68","3","6","-11","58","-12","-3.2","182","170","14.3",".499",".501","16.2","-1.7","181","$19,194,000",2000
"Houston Astros","","6444","17","-6","-10","-53","65","14","-0.7","187","201","17.4",".500",".502","23.2","-5.8","254","$51,289,111",2000
"Kansas City Royals","","6394","-48","12","4","44","-2","11","1.7","236","247","23.6",".500",".503","19.4","4.4","202","$24,700,500",2000
"Los Angeles Dodgers","","6312","1","-1","-4","6","63","65","4.2","184","250","21.9",".503",".503","22.1","0.0","244","$87,924,286",2000
"Milwaukee Brewers","","6355","-122","1","-3","29","62","-33","-5.2","187","155","12.9",".499",".499","11.0","2.4","125","$35,633,333",2000
"Minnesota Twins","","6283","-127","3","2","-46","-7","-176","-15.5","234","58","6.2",".491",".495","10.5","-4.4","105","$17,529,500",2000
"Montreal Expos","","6153","-129","-6","5","-37","60","-107","-12.3","181","74","5.1",".496",".498","9.5","-4.2","111","$29,794,333",2000
"New York Mets","","6328","-7","-3","-2","11","62","61","3.7","186","247","21.6",".502",".503","21.3","0.2","236","$79,509,776",2000
"New York Yankees","","6311","26","-7","0","-22","-4","-6","-0.1","233","227","21.5",".499",".501","23.5","-1.9","248","$92,713,260",2000
"Oakland Athletics","","6432","92","-5","-4","-46","-9","29","3.3","238","268","25.3",".501",".502","29.6","-4.5","313","$33,172,333",2000
"Philadelphia Phillies","","6273","-147","6","2","13","59","-66","-8.3","184","119","9.4",".497",".500","9.0","0.7","105","$44,308,000",2000
"Pittsburgh Pirates","","6369","-66","-8","0","-59","65","-68","-8.6","186","119","9.3",".497",".500","15.8","-6.1","178","$29,328,334",2000
"San Diego Padres","","6291","-78","3","5","-6","58","-19","-3.8","185","166","13.9",".499",".501","15.3","-1.3","172","$47,879,333",2000
"Seattle Mariners","","6444","88","0","0","29","-6","111","10.7","239","350","32.9",".506",".506","30.3","2.6","321","$60,295,000",2000
"San Francisco Giants","","6418","125","-2","-6","6","70","192","16.1","187","380","34.1",".508",".506","34.4","-0.1","374","$53,737,826",2000
"St. Louis Cardinals","","6369","39","-1","1","43","65","148","12.0","186","333","29.8",".506",".504","26.4","3.4","290","$61,653,863",2000
"Tampa Bay Devil Rays","","6206","-123","-7","2","10","-3","-122","-10.5","230","108","10.9",".493",".496","9.9","1.2","98","$53,840,129",2000
"Texas Rangers","","6364","5","-9","-3","-62","-5","-75","-6.2","237","163","15.8",".496",".497","21.6","-5.7","225","$67,770,921",2000
"Toronto Blue Jays","","6326","1","-4","0","1","-2","-4","0.2","234","229","21.9",".500",".503","21.8","0.3","229","$46,038,332",2000
"","0","190261","-818","0","0","94","941","215","-3.4","6259","6476","587.5",".500",".502","591.1","-0.1","6380","$1,633,395,935",2000
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2000
"Anaheim Angels","","6226","-65","9","4","39","-7","-20","-1.6","229","209","20.3",".499",".501","16.3","3.9","170","$33,778,500",2001
"Arizona Diamondbacks","","6349","-65","-1","8","49","61","52","3.4","186","238","21.4",".502",".503","17.3","4.4","189","$76,855,499",2001
"Atlanta Braves","","6152","-109","1","-2","61","60","11","-0.6","180","191","16.9",".500",".502","11.5","5.6","130","$91,291,666",2001
"Baltimore Orioles","","6151","-87","3","0","-13","-5","-101","-9.3","229","128","12.6",".494",".496","13.7","-1.0","141","$55,345,500",2001
"Boston Red Sox","","6264","3","-19","-3","-50","-4","-73","-6.6","231","158","15.5",".496",".499","20.2","-4.6","208","$109,833,333",2001
"Chicago Cubs","","6219","17","3","-6","-12","59","61","4.1","180","241","21.5",".502",".503","23.6","-2.1","253","$64,715,833",2001
"Chicago White Sox","","6151","5","-10","-8","7","-5","-12","-0.6","228","217","21.2",".499",".501","20.3","0.9","210","$63,703,667",2001
"Cincinnati Reds","","6222","-99","1","-4","-39","53","-89","-10.6","184","95","7.3",".496",".498","12.0","-4.6","134","$48,776,000",2001
"Cleveland Indians","","6357","84","-1","3","-49","-6","31","3.4","236","267","25.9",".502",".503","30.4","-4.6","316","$92,527,001",2001
"Colorado Rockies","","6394","-20","16","3","61","61","120","10.0","186","306","28.0",".505",".506","22.7","5.5","245","$70,916,334",2001
"Detroit Tigers","","6145","-3","-6","0","-35","-7","-51","-4.4","229","178","17.5",".497",".499","20.8","-3.3","214","$52,831,167",2001
"Florida Marlins","","6184","-39","0","-5","13","59","29","1.2","180","209","18.7",".501",".502","18.2","0.8","196","$28,360,500",2001
"Houston Astros","","6325","-2","-3","-3","-3","61","50","3.2","182","233","20.9",".502",".504","22.0","-1.0","236","$58,312,667",2001
